,Hospitals,Hotels
59,"Rainbow Hospital For Women & Children, Hyderabad",
60,"Rainbow Hospital For Women & Children, Hyderabad",
61,"Rainbow Hospital For Women & Children, Hyderabad",
62,"Rainbow Hospital For Women & Children, Hyderabad",
63,"Rainbow Hospital For Women & Children, Hyderabad",
64,"Rainbow Hospital For Women & Children, Hyderabad","HOTEL'S NAME:
Taj Krishna
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
0.5
ROOM COUNT:
261
PRICE RANGE (INR):
8000
PRICE RANGE (USD):
106
HOTELS LINK:
http://tajhotels.com/luxury/grand-palaces-and-iconic-hotels/umaid-bhawan-palace-jodhpur/luxury/city-hotels/taj-krishna-hyderabad/overview.html"
65,"Rainbow Hospital For Women & Children, Hyderabad","HOTEL'S NAME:
Minerva Grand
STAR RTAING:
2
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
0.5
ROOM COUNT:
55
PRICE RANGE (INR):
2500
PRICE RANGE (USD):
33
HOTELS LINK:
http://minervagrand.com/banjara/premier1.html#"
66,"Rainbow Hospital For Women & Children, Hyderabad","SIGHT'S NAME:
Qutub Shahi Tombs
SIGHTS' ADDRESS:
Toli Chowki
SIGHT DISTANCE FROM HOSPITAL (IN KM):
8.0
CONNECTIVITY:
Tourist Buses, Local Bus, City Bus, Taxi, Auto
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
67,"Rainbow Hospital For Women & Children, Hyderabad","MARKET NAME:
Begum Bazaar
MARKET IS KNOWN FOR:
Brassware Shops, Commodity Center
RESTURANTS IN MARKET PLACE:
Indian, Mediterranean, Chinese, Asian, Italian, Fast Food Joints, Café, Pubs, Bakery
RELIGIOUS PLACES IN MARKET:
Temple – Chilkur Balaji Temple Birla, Mosque – Jama Masjid"
68,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","APPOINTMENT LINK
http://www.lvpei.org"
69,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","INTERNATIONAL CUISINES
* Indian"
70,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","INTERNATIONAL RECOGNITIONS
Abbott Medical Optics, USA Adventus Technology Inc., USA Aidmatrix Foundation, Inc (I2 Foundation), USA Alcon, USA AMO Groningen BV, The Netherlands Allergan, USA Arabian Healthcare LLC, UAE Association For The Blind, Malaysia B P Koirala Institute Of Health Sciences, Nepal Bartimeus, The Netherlands Bausch & Lomb, USA BHP Billiton, Australia Brien Holden Vision Institute, Australia. BRISC CARR Group Limited, Canada Bristol Eye Bank, Bristol Eye Hospital, UK Cambridge University, UK Canadian International Development Agency, Canada Carl Zeiss, Germany Case Western Reserve University, USA. Centre For Eye Research & Technology, Australia. Centre For Sight General Hospital, Sri Lanka Centre Of Excellence In Molecular Biology, Pakistan. Champalimaud Foundation, Portugal. Children’S Hospital Of Florida, USA Children’S Hospital Of Philadelphia, University Of Pennsylvania, USA Chinese University Of Hong Kong, Hong Kong Christoffel Blindenmission, Germany. Cicendo Eye Hospital, Indonesia Combat Blindness Foundation, USA College Of Biomedical And Life Sciences, Cardiff University, UK. City University - Division Of Optometry & Visual Science, London. Dr Wahidin Sudiro Husodo General Hospital, Indonesia Duke University Eye Centre, North Carolina, USA. Eyesight International, Canada Flaum Eye Institute, University Of Rochester Medical Center, USA. Flinders University, Australia. Fred Hollows Foundation, Australia Good – Life Co, USA / Finland Harvard University, USA Institute Salah Azaiz, Tunisia International Agency For Prevention Of Blindness, UK International Association For Contact Lens Educators, Australia International Center For Eye Care Education, Australia. International Federation Of Eye & Tissue Banks, USA Indiana University School Of Optometry, Bloomington, USA. Islamia Eye Hospital, Bangladesh Johns Hopkins University, USA John Hunter Hospital, New South Wales, Sydney, Australia. Jules Stein Eye Institute, University Of California, USA. Kenyatta National Hospital, Nairobi, Kenya. Latter-Day Saint Charities, USA Lighthouse International, USA Lions Eye Institute, Australia Lions International, USA London School Of Hygiene & Tropical Medicine, UK Massachusetts Eye And Ear Infirmary, Medical Lab, USA Massachusetts Institute Of Technology, Dept Of Cognitive Science, USA. Mayo Clinic, USA. Moorfields Eye Hospital, UK National Institute Of Ophthalmology & Hospital, Bangladesh National Institute Of Sensory Organs, Japan National Institutes Of Health, National Eye Institutes, US) New York Eye & Ear Infirmary, New York, USA Northwestern University, USA Ohio State University, USA. Operation Eyesight Universal, Canada Optometry Giving Sight, Australia ORBIS International, USA / India Pakistan Institute Of Community Ophthalmology, Pakistan Queensland University Of Technology, Australia Queen Elizabeth Diamond Jubilee Trust (QEDJT) UK Rotary International, USA Santen Inc, USA Service De Biologie, Cinique Institute, Salah Azaiz, Tunisia SightLife, USA Sightsavers, UK Singapore Eye Research Institute, Singapore. Stanford Graduate School Of Business, USA SUNY School Of Optometry, USA Schepens Eye Research Institute, Massachusetts Eye And Ear Infirmary, Harvard Medical School. Tel Aviv University, Israel Thadikonda Research Foundation, Inc, USA. The Cooperative Research Center For Eye Research & Technology, Australia The Hadley School For The Blind, USA The Tun Hussein On National Eye Hospital And The Malaysian Tufts University Of Medicine, USA The Royal Australian And New Zealand College Of Ophthalmologists (RANZCO) University Of Hamburg, Hamburg, Germany University Of Aberdeen, UK University Of California, San Diego, USA. University Of California Berkeley School Of Optometry, Berkeley,USA. University Of Campinas, Brazil. University Of Florida, USA University Of Heidelberg, Germany University Of Houston College Of Optometry, Houston,USA. Dept Of Ophthalmology, University Of Kentucky, Lexington KY, USA. University Of Iowa, USA. University Of Melbourne, CERA, Australia University Of Melbourne, CERA, Australia University Of Miami, Bascom Palmer Institute, USA. University Of Nairobi, Kenya University Of Nebraska Medical Center,USA. University Of New South Wales, School Of Optometry And Vision Science, Australia University Of New South Wales, Sydney, Australia University Of Sheffield, Sheffield South York. University Of Nottingham, UK University Of Ottawa, Canada University Of Pittsburgh Medical Center, USA. University Of Sao Paolo, Brazil. University Of South Carolina, USA University Of Toronto, Canada University Of Iowa, USA. Vanderbilt University, USA Wellcome Trust, UK. Wharton School (University Of Pennsylvania), USA William Beaumont Hospital, USA Wills Eye Hospital, USA. World Diabetes Foundation, Denmark World Health Organization, Switzerland. Yangon Eye Hospital, Myanmar"
71,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","ISO DETAILS
- Not Available -"
72,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","LANGUAGES
* English
* Arabic"
73,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
74,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
75,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
76,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
77,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
78,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
79,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
80,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
81,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
82,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
83,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
84,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
85,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
86,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
87,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
88,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
89,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
90,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
91,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
92,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
93,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
94,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
95,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
96,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
97,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
98,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
99,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
100,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
101,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
102,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
103,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
104,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
105,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
106,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
107,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
108,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
109,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
110,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
111,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
112,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
113,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
114,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
115,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
116,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
117,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
118,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
119,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
120,"L. V. Prasad Eye Institute (LVPEI), Hyderabad",
121,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","HOTEL'S NAME:
Ellaa Hotels
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
9.0
ROOM COUNT:
117
PRICE RANGE (INR):
4000
PRICE RANGE (USD):
53
HOTELS LINK:
http://ellaahotels.com/home.php"
122,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","HOTEL'S NAME:
Holiday Inn Express Hotel & Suites Hyderabad Gachibowli
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
2.0
ROOM COUNT:
232
PRICE RANGE (INR):
3000
PRICE RANGE (USD):
40
HOTELS LINK:
http://ihg.com/holidayinnexpress/hotels/us/en/hyderabad/hydhy/hoteldetail"
123,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","SIGHT'S NAME:
Charminar
SIGHTS' ADDRESS:
Near Musi River
SIGHT DISTANCE FROM HOSPITAL (IN KM):
20.0
CONNECTIVITY:
Local Bus, City Bus, Taxi, Auto
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Orange Cabs
AGENCY WEBSITE:
http://www.orangecabs.com
AGENCY CONTACT:
4422 4422"
124,"L. V. Prasad Eye Institute (LVPEI), Hyderabad","MARKET NAME:
M.G.Road Complex
MARKET IS KNOWN FOR:
Imitation Jewellery Stores, Stationery, Paper, Tailoring Materials, Wool And Threads
RESTURANTS IN MARKET PLACE:
Indian, Chinese, European, Continental, Multi – Cuisine, Mughlai, Tandoori, Beverages, Fast Food
RELIGIOUS PLACES IN MARKET:
Temple – Darbar Maisamma Temple Katta Maisamma Temple"
125,KAMALAKAR HOSPITAL,"APPOINTMENT LINK
- not available -"
126,KAMALAKAR HOSPITAL,"INTERNATIONAL CUISINES
* Indian"
127,KAMALAKAR HOSPITAL,"INTERNATIONAL RECOGNITIONS
- Not Available -"
128,KAMALAKAR HOSPITAL,"ISO DETAILS
- Not Available -"
129,KAMALAKAR HOSPITAL,"LANGUAGES
* English"
130,KAMALAKAR HOSPITAL,"CERTIFICATES
* NABH"
131,KAMALAKAR HOSPITAL,"ROOMS
* Special Rooms"
132,KAMALAKAR HOSPITAL,
133,KAMALAKAR HOSPITAL,
134,KAMALAKAR HOSPITAL,
135,KAMALAKAR HOSPITAL,
136,KAMALAKAR HOSPITAL,
137,KAMALAKAR HOSPITAL,
138,KAMALAKAR HOSPITAL,
139,KAMALAKAR HOSPITAL,
140,KAMALAKAR HOSPITAL,
141,KAMALAKAR HOSPITAL,
142,KAMALAKAR HOSPITAL,
143,KAMALAKAR HOSPITAL,
144,KAMALAKAR HOSPITAL,
145,KAMALAKAR HOSPITAL,
146,KAMALAKAR HOSPITAL,
147,KAMALAKAR HOSPITAL,
148,KAMALAKAR HOSPITAL,
149,KAMALAKAR HOSPITAL,
150,KAMALAKAR HOSPITAL,
151,KAMALAKAR HOSPITAL,
152,KAMALAKAR HOSPITAL,
153,KAMALAKAR HOSPITAL,
154,KAMALAKAR HOSPITAL,
155,KAMALAKAR HOSPITAL,
156,KAMALAKAR HOSPITAL,
157,KAMALAKAR HOSPITAL,
158,KAMALAKAR HOSPITAL,
159,KAMALAKAR HOSPITAL,
160,KAMALAKAR HOSPITAL,
161,KAMALAKAR HOSPITAL,
162,KAMALAKAR HOSPITAL,
163,KAMALAKAR HOSPITAL,
164,KAMALAKAR HOSPITAL,
165,KAMALAKAR HOSPITAL,"HOTEL'S NAME:
SHELTON
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
4.0
ROOM COUNT:
100
PRICE RANGE (INR):
6000
PRICE RANGE (USD):
100
HOTELS LINK:
- not available -"
166,KAMALAKAR HOSPITAL,"SIGHT'S NAME:
COTTON BARRIAGE
SIGHTS' ADDRESS:
DOWALEISWARAM
SIGHT DISTANCE FROM HOSPITAL (IN KM):
15.0
CONNECTIVITY:
CAB
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
- Not Available -
AGENCY WEBSITE:
- not available -
AGENCY CONTACT:
- Not Available -"
167,"Continental Hospitals, Hyderabad","APPOINTMENT LINK
- not available -"
168,"Continental Hospitals, Hyderabad","INTERNATIONAL CUISINES
- Not Available -"
169,"Continental Hospitals, Hyderabad","INTERNATIONAL RECOGNITIONS
- Not Available -"
170,"Continental Hospitals, Hyderabad","ISO DETAILS
- Not Available -"
171,"Continental Hospitals, Hyderabad","LANGUAGES
* Arabic
* English
* Russian"
172,"Continental Hospitals, Hyderabad","CERTIFICATES
* NABH"
173,"Continental Hospitals, Hyderabad","ROOMS
* Twin Sharing
* Multiple Beds"
174,"Continental Hospitals, Hyderabad",
175,"Continental Hospitals, Hyderabad",
176,"Continental Hospitals, Hyderabad",
177,"Continental Hospitals, Hyderabad",
178,"Continental Hospitals, Hyderabad",
179,"Continental Hospitals, Hyderabad",
180,"Continental Hospitals, Hyderabad",
181,"Continental Hospitals, Hyderabad",
182,"Continental Hospitals, Hyderabad",
183,"Continental Hospitals, Hyderabad",
184,"Continental Hospitals, Hyderabad",
185,"Continental Hospitals, Hyderabad",
186,"Continental Hospitals, Hyderabad",
187,"Continental Hospitals, Hyderabad",
188,"Continental Hospitals, Hyderabad",
189,"Continental Hospitals, Hyderabad",
190,"Continental Hospitals, Hyderabad",
191,"Continental Hospitals, Hyderabad",
192,"Continental Hospitals, Hyderabad",
193,"Continental Hospitals, Hyderabad",
194,"Continental Hospitals, Hyderabad",
195,"Continental Hospitals, Hyderabad",
196,"Continental Hospitals, Hyderabad",
197,"Continental Hospitals, Hyderabad",
198,"Continental Hospitals, Hyderabad",
199,"Continental Hospitals, Hyderabad",
200,"Continental Hospitals, Hyderabad",
201,"Continental Hospitals, Hyderabad",
202,"Continental Hospitals, Hyderabad",
203,"Continental Hospitals, Hyderabad",
204,"Continental Hospitals, Hyderabad",
205,"Continental Hospitals, Hyderabad",
206,"Continental Hospitals, Hyderabad",
207,"Continental Hospitals, Hyderabad",
208,"Continental Hospitals, Hyderabad",
209,"Continental Hospitals, Hyderabad",
210,"Continental Hospitals, Hyderabad",
211,"Continental Hospitals, Hyderabad",
212,"Continental Hospitals, Hyderabad",
213,"Continental Hospitals, Hyderabad",
214,"Continental Hospitals, Hyderabad",
215,"Continental Hospitals, Hyderabad",
216,"Continental Hospitals, Hyderabad",
217,"Continental Hospitals, Hyderabad",
218,"Continental Hospitals, Hyderabad",
219,"Continental Hospitals, Hyderabad",
220,"Continental Hospitals, Hyderabad",
221,"Continental Hospitals, Hyderabad",
222,"Continental Hospitals, Hyderabad",
223,"Continental Hospitals, Hyderabad",
224,"Continental Hospitals, Hyderabad",
225,"Continental Hospitals, Hyderabad",
226,"Continental Hospitals, Hyderabad",
227,"Continental Hospitals, Hyderabad",
228,"Continental Hospitals, Hyderabad",
229,"Continental Hospitals, Hyderabad",
230,"Continental Hospitals, Hyderabad",
231,"Continental Hospitals, Hyderabad",
232,"Continental Hospitals, Hyderabad",
233,"Continental Hospitals, Hyderabad",
234,"Continental Hospitals, Hyderabad",
235,"Continental Hospitals, Hyderabad",
236,"Continental Hospitals, Hyderabad",
237,"Continental Hospitals, Hyderabad",
238,"Continental Hospitals, Hyderabad",
239,"Continental Hospitals, Hyderabad",
240,"Continental Hospitals, Hyderabad",
241,"Continental Hospitals, Hyderabad",
242,"Continental Hospitals, Hyderabad",
243,"Continental Hospitals, Hyderabad",
244,"Continental Hospitals, Hyderabad",
245,"Continental Hospitals, Hyderabad",
246,"Continental Hospitals, Hyderabad",
247,"Continental Hospitals, Hyderabad",
248,"Continental Hospitals, Hyderabad",
249,"Continental Hospitals, Hyderabad",
250,"Continental Hospitals, Hyderabad",
251,"Continental Hospitals, Hyderabad",
252,"Continental Hospitals, Hyderabad",
253,"Continental Hospitals, Hyderabad",
254,"Continental Hospitals, Hyderabad",
255,"Continental Hospitals, Hyderabad",
256,"Continental Hospitals, Hyderabad",
257,"Continental Hospitals, Hyderabad",
258,"Continental Hospitals, Hyderabad",
259,"Continental Hospitals, Hyderabad",
260,"Continental Hospitals, Hyderabad",
261,"Continental Hospitals, Hyderabad",
262,"Continental Hospitals, Hyderabad",
263,"Continental Hospitals, Hyderabad",
264,"Continental Hospitals, Hyderabad",
265,"Continental Hospitals, Hyderabad",
266,"Continental Hospitals, Hyderabad",
267,"Continental Hospitals, Hyderabad",
268,"Continental Hospitals, Hyderabad",
269,"Continental Hospitals, Hyderabad",
270,"Continental Hospitals, Hyderabad",
271,"Continental Hospitals, Hyderabad",
272,"Continental Hospitals, Hyderabad","HOTEL'S NAME:
Holiday Inn Express Hotel & Suites Hyderabad Gachibowli
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
2.0
ROOM COUNT:
232
PRICE RANGE (INR):
4000
PRICE RANGE (USD):
53
HOTELS LINK:
http://ihg.com/holidayinnexpress/hotels/us/en/hyderabad/hydhy/hoteldetail"
273,"Continental Hospitals, Hyderabad","HOTEL'S NAME:
Radisson Hyderabad Hitec City
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
5.0
ROOM COUNT:
202
PRICE RANGE (INR):
3700
PRICE RANGE (USD):
49
HOTELS LINK:
http://radisson.com/hyderabad-hotel-ap-500032/indrdhc"
274,"Continental Hospitals, Hyderabad","SIGHT'S NAME:
QutubShahi Tombs
SIGHTS' ADDRESS:
ToliChowki
SIGHT DISTANCE FROM HOSPITAL (IN KM):
11.7
CONNECTIVITY:
Tourist Buses, Local Bus, City Bus, Taxi, Auto
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Yellow Cabs
AGENCY WEBSITE:
http://www.yellowcabshyd.com/
AGENCY CONTACT:
+91-40-4646 4646"
275,"Continental Hospitals, Hyderabad","MARKET NAME:
M.G.Road Complex
MARKET IS KNOWN FOR:
Imitation Jewellery Stores, Stationery, Paper, Tailoring Materials, Wool And Threads
RESTURANTS IN MARKET PLACE:
Indian, Chinese, European, Continental, Multi – Cuisine, Mughlai, Tandoori, Beverages, Fast Food
RELIGIOUS PLACES IN MARKET:
Temple –DarbarMaisamma Temple KattaMaisamma Temple"
276,Medicover Hospitals India,"APPOINTMENT LINK
https://www.medicoverhospitals.in/book-an-appointment/"
277,Medicover Hospitals India,"INTERNATIONAL CUISINES
* Continental"
278,Medicover Hospitals India,"INTERNATIONAL RECOGNITIONS
- Not Available -"
279,Medicover Hospitals India,"ISO DETAILS
- Not Available -"
280,Medicover Hospitals India,"LANGUAGES
* English
* Arabic
* Hindi
* Telugu"
281,Medicover Hospitals India,"CERTIFICATES
* NABH"
282,Medicover Hospitals India,"ROOMS
* Deluxe
* Multiple Beds"
283,Medicover Hospitals India,
284,Medicover Hospitals India,
285,Medicover Hospitals India,
286,Medicover Hospitals India,
287,Medicover Hospitals India,
288,Medicover Hospitals India,
289,Medicover Hospitals India,
290,Medicover Hospitals India,
291,Medicover Hospitals India,
292,Medicover Hospitals India,
293,Medicover Hospitals India,
294,Medicover Hospitals India,
295,Medicover Hospitals India,
296,Medicover Hospitals India,
297,Medicover Hospitals India,
298,Medicover Hospitals India,
299,Medicover Hospitals India,
300,Medicover Hospitals India,
301,Medicover Hospitals India,
302,Medicover Hospitals India,
303,Medicover Hospitals India,
304,Medicover Hospitals India,
305,Medicover Hospitals India,
306,Medicover Hospitals India,
307,Medicover Hospitals India,
308,Medicover Hospitals India,
309,Medicover Hospitals India,
310,Medicover Hospitals India,"HOTEL'S NAME:
IBIS Hotel
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
0.1
ROOM COUNT:
50
PRICE RANGE (INR):
2500
PRICE RANGE (USD):
33
HOTELS LINK:
all.accor.com"
311,Medicover Hospitals India,"HOTEL'S NAME:
FabHotel Prowell Crown
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
0.1
ROOM COUNT:
55
PRICE RANGE (INR):
2100
PRICE RANGE (USD):
28
HOTELS LINK:
fabhotels.com"
312,Medicover Hospitals India,"SIGHT'S NAME:
Charminar
SIGHTS' ADDRESS:
Charminar Rd, Char Kaman, Ghansi Bazaar, Hyderabad, Telangana 500002
SIGHT DISTANCE FROM HOSPITAL (IN KM):
10.0
CONNECTIVITY:
Cab, Metro, Auto
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
313,Medicover Hospitals India,"MARKET NAME:
Ratnadeep Super Market
MARKET IS KNOWN FOR:
Quality Food Products,Fruits And Vegetables.
RESTURANTS IN MARKET PLACE:
Local, Fast Food, Casual, Family Type, Etc.
RELIGIOUS PLACES IN MARKET:
Mandir, Masjid, Church, Etc."
314,Mahatma Gandhi Cancer Hospital & Research Institute,"APPOINTMENT LINK
www.mgcancerhospital.com"
315,Mahatma Gandhi Cancer Hospital & Research Institute,"INTERNATIONAL CUISINES
- Not Available -"
316,Mahatma Gandhi Cancer Hospital & Research Institute,"INTERNATIONAL RECOGNITIONS
- Not Available -"
317,Mahatma Gandhi Cancer Hospital & Research Institute,"ISO DETAILS
- Not Available -"
318,Mahatma Gandhi Cancer Hospital & Research Institute,"LANGUAGES
* English
* Hindi
* Oriya
* Telugu"
319,Mahatma Gandhi Cancer Hospital & Research Institute,"CERTIFICATES
* NABH"
320,Mahatma Gandhi Cancer Hospital & Research Institute,
321,Mahatma Gandhi Cancer Hospital & Research Institute,
322,Mahatma Gandhi Cancer Hospital & Research Institute,
323,Mahatma Gandhi Cancer Hospital & Research Institute,
324,Mahatma Gandhi Cancer Hospital & Research Institute,
325,Mahatma Gandhi Cancer Hospital & Research Institute,
326,Mahatma Gandhi Cancer Hospital & Research Institute,
327,Mahatma Gandhi Cancer Hospital & Research Institute,
328,Mahatma Gandhi Cancer Hospital & Research Institute,
329,Mahatma Gandhi Cancer Hospital & Research Institute,
330,Mahatma Gandhi Cancer Hospital & Research Institute,
331,Mahatma Gandhi Cancer Hospital & Research Institute,
332,Mahatma Gandhi Cancer Hospital & Research Institute,
333,Mahatma Gandhi Cancer Hospital & Research Institute,
334,Mahatma Gandhi Cancer Hospital & Research Institute,
335,Mahatma Gandhi Cancer Hospital & Research Institute,
336,Mahatma Gandhi Cancer Hospital & Research Institute,
337,Mahatma Gandhi Cancer Hospital & Research Institute,
338,Mahatma Gandhi Cancer Hospital & Research Institute,
339,Mahatma Gandhi Cancer Hospital & Research Institute,
340,Mahatma Gandhi Cancer Hospital & Research Institute,
341,Mahatma Gandhi Cancer Hospital & Research Institute,
342,Mahatma Gandhi Cancer Hospital & Research Institute,
343,Mahatma Gandhi Cancer Hospital & Research Institute,
