,Disease,Questions,Options
12,Heart Attack,"Has anyone in your family (parents, siblings, children) experienced the following diseases or procedures?","Heart attack, Stroke, Angioplasty/ Stent placement, None of the above, "
13,Heart Attack,Do you have diabetes?,"Yes, No, "
14,Heart Attack,Have you ever had any of the following cardiac tests?,"ECG, Echocardiogram(Echo), Labs (Troponin I/Troponin T), None of the above, "
15,Heart Attack,Were these tests found to be normal?,"Yes, they were normal., No, they were abnormal., "
16,Heart Attack,Which one of the following statements best describes your usual activity?,"20-30mins/day high intensity, 30-40mins/day mild intensity, I workout only few days/week, I don't workout, "
17,Heart Attack,"How many servings of red meat do you eat per month? (Eg: mutton, steak, ham, bacon, sausage, etc.) ","10 or more servings, 1 to 9 servings, I don't eat red meat, "
0,Diabetes,I would like to know a bit more about you.😊How old are you? ,"20 years and less, 21 to 30 years, 31 to 40 years, 41 to 50 years, 51 years and above, "
1,Diabetes,You are...,"Female, Male, "
2,Diabetes,Have you ever been found to have high blood sugar either from a blood test or during a visit to the doctor?,"Yes, No, "
3,Diabetes,Did your report point out any of these as abnormalities?,"HbA1c, Blood sugars, Urine sugar +ve, I don't remember., "
4,Diabetes,How much was your last measured HBA1c?,"HbA1c ≥9%, HbA1c 6.5% to 9%, HbA1c 5.9% - 6.4%, Less than 5.9% HbA1c, I don't remember, "
5,Diabetes,"As you said your blood sugars were found to be high, have you been diagnosed with..","Pre-diabetes, Diabetes, None of the above, "
6,Diabetes,Have you experienced the following? ,"Frequent urination, Consistently thirsty, Frequently hungry, None of the above, "
7,Diabetes,Do you experience excessive tiredness along with the above-selected symptoms?,"Yes, No, "
8,Diabetes,Are these symptoms familiar to you? ,"Tingling/burning sensation, Shoulder stiffness/pain, Unexplained weight loss, Weight gain, None of the above, "
9,Diabetes,Have you observed any of these skin conditions?,"Skin tags, Skin thickening/darkening, None of the above, "
10,Diabetes,"Coming to family history, have any of your blood relatives (siblings, parents..) been diagnosed with diabetes?","Yes, No, "
11,Diabetes,Do you generally...,"Skip meals often, Eat sugary/fatty junk food, Consume high carbohydrate diet, Eat healthy/Follow a meal plan, "
12,Diabetes,"Say, how would you describe yourself?","I am underweight, I am at a healthy weight, I am a bit overweight, I am obese, "
13,Diabetes,Do you set aside time for exercise?,"No, Rarely, Weekends, Weekdays, Daily, "
14,Diabetes,Tell me a little about your lifestyle.,"Stress, Drinking alcohol, Cigarette smoking, Irregular sleep patterns, None of the above, "
15,Diabetes,Have you been diagnosed with any of these conditions?,"Cholesterol issues, High blood pressure, PCOS / PCOD, Thyroid disorders, None of the above, "
0,Thyroid,How old are you?,"Less than 21 years, 21 - 49 years, 50 - 64 years, Above 65 years, "
1,Thyroid,You are...,"Female, Male, "
2,Thyroid,"Tell me, what brings you here?","Weight Gain, Hair Problems, Skin Problems, Tiredness, Constipation, Fertility Issues, I don't have these symptoms., "
3,Thyroid,Since when have you noticed weight gain? 🎯 ,"Less than 3 months, 3 - 6 months, 6 - 11 months, More than 1 year, "
4,Thyroid,"Tell me, how many kilos have you gained over last year?","Less than 5 kgs, 6 - 10 kgs, 11 - 20 kgs, More than 21 kgs, "
5,Thyroid,"I eat less but I keep gaining weight.""""","Yes, No, "
6,Thyroid,Coming to menstrual cycles...How many days go by in between your periods?,"21 - 28 days, 28 - 35 days, < 21 days, > 35 days, Not attained periods, Attained menopause, "
7,Thyroid,How many pads or tampons do you use per day during your periods?,"1 to 2, 3 to 4, 5 to 7, More than 7, "
8,Thyroid,Do you face any of these signs?,"Feeling Cold Often, Observed Swelling (face/feet), Voice Hoarseness, Forgetful / Confused, Swelling in Throat, None of the above, "
9,Thyroid,Have you checked for TSH and T4 levels?,"Yes, No, "
10,Thyroid,"Say, did your TSH and T4 report say something like this...","Less than 3 months, Less than 5 kgs, 21 - 28 days, 1 to 2, Elevated TSH (> 10 mIU/L) with decreased T4., Mild elevated TSH ( 4.5-10 mIU/L) with normal free T4., Elevated TSH (> 10 mIU/L) with normal free T4., I don't remember., My TSH and T4 levels are normal., "
11,Thyroid,Tell me a little about your lifestyle.,"Yes, Stress, Regular Exercise, Overeating, Disturbed sleep pattern, Drinking alcohol, Cigarette smoking, None of the above, "
12,Thyroid,Do you know some conditions increase your risk of hypothyroidism?,"Yes, Stress, I am a pregnant woman, Family history of thyroid issu..., Past thyroid surgeries, I've had radiation therapies, None of the above, "
13,Thyroid,"Before you go, have you been diagnosed with chronic conditions? ","Yes, Stress, I am a pregnant woman, Diabetes, Obesity, Heart Disease, High Cholesterol, No chronic conditions, "
