,Type,Name,Phone,Address,City,Pincode,Country,Timings,Mode_of_Payment,Currency,Link_to_profile
17,Pharmacy,Amber Surgical,(0522) 2297240,"Shop No-6, Ist Floor, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41367/amber-surgical
18,Pharmacy,Amit Vaish Om Medicine,(0522) 3481305,"268 Sadar Bazar, Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41323/amit-vaish-om-medicine
19,Pharmacy,Amit medicals,9453591449,"Vivek khand-1, nawab purwa, Near gomti nagar station, Station road, Gomti Nagar Lucknow, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41281/amit-medicals
20,Pharmacy,Anand Homeo Store,(0522) 2214510,"82/36, LAL Kuan, Guru Govind Singh Mg, Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41172/anand-homeo-store
21,Pharmacy,Anand Medical Store,(0522) 2227833,"57, Gwynne Rd, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41342/anand-medical-store
22,Pharmacy,Anand Medicals,9335643070,"537/170, Purniya, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41154/anand-medicals
23,Pharmacy,Angel Pharmaceuticals,(0522) 2622707,"Shop No-6a, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41354/angel-pharmaceuticals
24,Pharmacy,Anju Medicals,(0522) 4012962,"Lda Shopping Complex, Behind Yadav Loha Bhandar, Opp. Sector G, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41124/anju-medicals
25,Pharmacy,Anshu Medical Store,(0522) 2624376,"156 Budh Mandir, La Touche Road, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41247/anshu-medical-store
26,Pharmacy,Anshu Medical Store,9307078165,"156, Near Budh Mandir, Latouche Road, Latouche Road, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41376/anshu-medical-store
27,Pharmacy,Anurag Medical Store,9336666156,"3b/5, A. F. Tower, Opp. Civil Hospital, Park Road, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41092/anurag-medical-store
28,Pharmacy,Anurag Pharmaceuticals,9532996773,"31, Purvanchal Enclave, Chinhat",Lucknow,226028,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/81809/anurag-pharmaceuticals
29,Pharmacy,Anurag medical,7275794121,"B36, Near civil hospital, Park road, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41097/anurag-medical
30,Pharmacy,Apollo Pharmacy,(0522) 4044957,"Shop No.- 525 Ka/ V - 151, P No - 8, Mahanagar Extn, Mahanagar, Lucknow",Lucknow,226006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40904/apollo-pharmacy
31,Pharmacy,Apollo Pharmacy,(0522) 4044958,"Shop No- 199, P No - 569/29 K, Sneh Nagar, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40909/apollo-pharmacy
32,Pharmacy,Apollo pharmacy,9452997244,"Shop no 112, Sneh nagar, Kanpur road, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40905/apollo-pharmacy
33,Pharmacy,Aqsa Pharma,9335209082,"Ug-1,Razzaque Cplx, Molviganj, Lucknow Cantt, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41292/aqsa-pharma
34,Pharmacy,Archana Medicos,9450391257,"65, Near Dimond Tower, Udayganj, Cantt Raod, Udaiganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41090/archana-medicos
35,Pharmacy,Arora Medical Store,9889440637,"Ashok, Sujanpura, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41014/arora-medical-store
36,Pharmacy,Artang Medicine Mall,(0522) 2614232,"Near Tasveer Wali Gali, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41398/artang-medicine-mall
37,Pharmacy,Arun Medical Store,(0522) 2354966,"Sarvodai Nagar Lucknow, Sarvodainagar, Lucknow",Lucknow,226015,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41010/arun-medical-store
38,Pharmacy,Arun Medicals,993673170,"Shop No. 26, Manik Moti Camp, Udai Ganj, Cantt Road, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41246/arun-medicals
39,Pharmacy,Asha Medical Store,9335856836,"150, Gautam Budh Marg, La Touche Road, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41245/asha-medical-store
40,Pharmacy,Asha Medical Store,(0522) 2614468,"150, Latouche Road, Gautam Budh Marg, Gautam Budh Marg(Gb Marg), Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41375/asha-medical-store
41,Pharmacy,Ashirwad Pharmacy,9336447707,"574, Sector-11, Indira Nagar Lucknow, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41001/ashirwad-pharmacy
42,Pharmacy,Ashish Medical Store,(0522) 6051162,"Lower Ground Floor-3,Galaxy Tower,Viraj Khand, Opposite Sahra Hospital, Gate No-1, Gomti Nagar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40980/ashish-medical-store
43,Pharmacy,Ashish Medical Store,8765533244,"LGF-03, Galaxy Tower, Opp. Shara Hospital, Viraj Khand, Gomti Nagar",Lucknow,226010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/81832/ashish-medical-store
44,Pharmacy,Astang Medicine Mall,(0522) 4068374,"Aminabad, Aminabad, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41380/astang-medicine-mall
45,Pharmacy,Astha Medical Store,9450361720,"D 20, Puraniya Chauraha, Sector H, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41041/astha-medical-store
46,Pharmacy,Atul Homeopathic & Ayurvedic Store,9125842483,"Near On Gyaneshwar Mandir,Narhi Market, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41113/atul-homeopathic-ayurvedic-store
47,Pharmacy,Atul Medical Store,(0522) 3017060,"42, Arya Samaj Raod, Ganesh Ganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41204/atul-medical-store
48,Pharmacy,Atul Medicals,9415088593,"A-1/15, Sector-H, Puraniya Crossing, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41131/atul-medicals
49,Pharmacy,Atul Pharma Medicals,(0522) 2286248,"Ramtirath Marg, 39/34 Narhi Bazar, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41257/atul-pharma-medicals
50,Pharmacy,Atul Pharma Medicals,9935488038,"Ramtirath Marg, 39/54 Narhi Bazar, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41258/atul-pharma-medicals
51,Pharmacy,Avadh Agencies,(0522) 2205672,"13-B, Madan Mohan Malviya Mg, Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41176/avadh-agencies
52,Pharmacy,Avadh Pharma,9918385167,"Shop No.2, Silver Plaza, Ikka Stand, Daliganj, Lucknow",Lucknow,226020,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41085/avadh-pharma
53,Pharmacy,Avighn ENT,(0522) 3067154,"Office No-3,1st Flr, Sahyogi Pustkalaya,Khurshedbagh Ganeshganj, Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41192/avighn-ent
54,Pharmacy,Awadh Institute Of Medical Technolo...,9839927021,"Village Pakra MAU, Dehta, Kursi Road, LUCKNOW",Lucknow,226006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40929/awadh-institute-of-medical-technolo
55,Pharmacy,Awadh Medicines,(0522) 2242360,"819, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41050/awadh-medicines
56,Pharmacy,Awasthi Homeo Medicals,(0522) 2343349,"Shop No-5, Boothnath Mkt, Indira Nagar Lucknow, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40942/awasthi-homeo-medicals
57,Pharmacy,Azad Medical Store,(0522) 2333219,"F-16, Krishna Complex, Dandaiya Bazar, Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41146/azad-medical-store
58,Pharmacy,B. DAS Chemist & Druggist,(0522) 2668279,"Sgpgi Gate, RAI Bareli Road, Lucknow",Lucknow,226014,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41083/b-das-chemist-druggist
59,Pharmacy,B. L. Parmaceuticals,(0522) 2297038,"8, 2nd Floor J.n.k. Medicine Market, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41397/b-l-parmaceuticals
60,Pharmacy,B.R.U.S Medical Store,9335058314,"3/56 Vij Mkt, Near Railway Crossing, Narain Nagar, Narayan Nagar, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41061/brus-medical-store
61,Pharmacy,Babu Bhai Medical Store,(0522) 2231817,"293 Phool Bagh, Hussainganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41243/babu-bhai-medical-store
62,Pharmacy,Babur Agency,(0522) 2219218,"Aminabad Rd, A P Sabha, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41165/babur-agency
63,Pharmacy,Bajpai Agencies,(0522) 3917402,"Lgf-1a, Rastogi Medicine Mkt, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41350/bajpai-agencies
64,Pharmacy,Balaji Medicals,(0522) 3262609,"Shop No-22, Near Daliganj Railway Crossing, Sitapur Rd, Lucknow",Lucknow,226021,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40998/balaji-medicals
65,Pharmacy,Bapu Homeopathic Store,(0522) 2260851,"Central Hotel Bldg, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41344/bapu-homeopathic-store
66,Pharmacy,Barffani Medical Agencies,(0522) 9452093778,"Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41170/barffani-medical-agencies
67,Pharmacy,Barkha Medical Store,(0522) 2310440,"3, Friends Market, Indira Nagar Lucknow, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40967/barkha-medical-store
68,Pharmacy,Beena Pharma,(0522) 2350753,"B-2027, Indira Ngr, Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41191/beena-pharma
69,Pharmacy,Bhagwan Medical Store,(0522) 2682783,"307, Aminabad Road, Ganesh Ganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41205/bhagwan-medical-store
70,Pharmacy,Bhagwati Pharma,(0522) 2297035,"Shop No Ugf-4, Mughal Medicine Market, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41291/bhagwati-pharma
71,Pharmacy,Bhandari Pharma,(0522) 2297203,"113/9, Parsi Shah Lane, Aminabad, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41360/bhandari-pharma
72,Pharmacy,Bharat Medical Store,(0522) 6567999,"Golaganj Crossing, Golaganj, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40952/bharat-medical-store
73,Pharmacy,Bharat Medicals,(0522) 2481380,"101, Sadar Bazar, Nehru Road, Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41322/bharat-medicals
74,Pharmacy,Bharat Medicals,9455001719,"Shop Number-9, Near Balrampur Hospital, Dr Ramlal Chakarvertty Road, Golaganj, Lucknow",Lucknow,226018,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41340/bharat-medicals
75,Pharmacy,Bharat Medicine House,(0522) 2623396,"113/15, Kamla Niwas, New Medicine Mkt, Aminabad Park, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41177/bharat-medicine-house
76,Pharmacy,Bhargava Medical Store,(0522) 2387141,"LG-32, Goel Plaza, Sanjay Gandhi Puram, Faizabad Road, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41002/bhargava-medical-store
77,Pharmacy,Bhasin Medicals,(0522) 2768484,"Near Thana, Vikas Nagar, Lucknow",Lucknow,226022,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40926/bhasin-medicals
78,Pharmacy,Bhole Medicals,9450660843,"Shop on.-S-6/70, Azad Market, Opp. Hal gate, Faizabad road, Indira Nagar Lucknow, Lucknow",Lucknow,226016,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40999/bhole-medicals
79,Pharmacy,Bholu Medicine,9839660108,"C-59, Sec-M, Aliganj, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41308/bholu-medicine
80,Pharmacy,Biotech Corp,(0522) 2231534,"Flat No-5,Raj Apt,1st Flr, Nr Islamia College, B N Rd, Lalbagh, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41038/biotech-corp
81,Pharmacy,Boericke Homoeo Store,9450493216,"At Ram Nagar,District Ambed Kar Nagar, Lucknow Gpo, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41104/boericke-homoeo-store
82,Pharmacy,Bombay Medical Store,9335824103,"Narhi Bazar, Hazratganj, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41256/bombay-medical-store
83,Pharmacy,C. And F. Medicines,(0522) 2639821,"Teerath Bhawan, Hewett Road., Shivaji Marg, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41272/c-and-f-medicines
84,Pharmacy,Cantt. Medical Center,(0522) 2482766,"1103 Gola Bazar, Cantt., Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41321/cantt-medical-center
85,Pharmacy,Care Chemist,(0522) 2480809,"Sadar Bazar, 266 M. P. Road, Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41320/care-chemist
86,Pharmacy,Chaitanya Medicos,9415575389,"K/1815, A-Block, Rajaji Puram, Lucknow",Lucknow,226017,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41080/chaitanya-medicos
87,Pharmacy,Chanda Medical Store,9839179091,"RAI Bareli Rd, LUCKNOW",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41306/chanda-medical-store
88,Pharmacy,Chandan Pharmacy,9839901159,"Tcv-68, Opp. Rmlh, Vibhuti Khand, Gomti Nagar, Lucknow",Lucknow,226010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40915/chandan-pharmacy
89,Pharmacy,Chandra Medicals,9305053280,"4, Barabirwa Chauraha, Commeti Hall Road, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41020/chandra-medicals
90,Pharmacy,Chandra Medicine,(0522) 3042481,"Aliganj, Lucknow",Lucknow,226024,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41150/chandra-medicine
91,Pharmacy,Chandra Medicos,9838587735,"896 Azad Mahal, Sadar Bazar, Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41319/chandra-medicos
92,Pharmacy,Chawala medical store,9208903834,"Alambagh market, Nr alambagh chauraha, Talkatora rd, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40932/chawala-medical-store
93,Pharmacy,Chawdhary Medical Store,(0522) 2282314,"Cantt. Road, Sadar, Lucknow",Lucknow,226002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41318/chawdhary-medical-store
94,Pharmacy,Chawla Medical Store,(0522) 2454852,"Alambagh Crossing, Alambagh, Lucknow",Lucknow,226005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/40961/chawla-medical-store
95,Pharmacy,Chhaya Medical Hall,(0522) 2281914,"116/10, Kaubari Marg, Ghasiyari Mandi, Kaisarbagh, Lucknow",Lucknow,226001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/41242/chhaya-medical-hall
