,Type,Name,Phone,Address,City,Pincode,Country,Timings,Mode_of_Payment,Currency,Link_to_profile
15,Pharmacy,Adinath Medicines,(0261) 3040960,"Tu 02 Shankheshwar Complex, Kailashnagar, Opp Raymond Showroom, Majura Gate, Majura Gate, Surat",Surat,395002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53280/adinath-medicines
16,Pharmacy,Aditya Medical & Provision Store,(0261) 2778228,"18 Prerna Nagar, Nr Tadwadi, Rander Road, Surat",Surat,395005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53237/aditya-medical-provision-store
17,Pharmacy,Aditya Medical & Provisional Store,(0261) 2778228,"Umang, Shop No. 2, Tadwadi, 18, Prerna Nagar Society, Rander Road, Surat",Surat,395005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53235/aditya-medical-provisional-store
18,Pharmacy,Agarwal Medical Store,(02626) 233014,"Near Saddheshwar Mahadev Temple, 25 Patharda Bazar, Ukai Dam, Surat",Surat,394680,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53516/agarwal-medical-store
19,Pharmacy,Agrawal Medical Store,9998329048,"3rd Floor Bhagwati Ashish Apartment, City Light Road, Citylight Road, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53448/agrawal-medical-store
20,Pharmacy,Akash Medical & General Stores,9979466369,"Shop-4, Shiwam Avenue, Opp. Reshma Row-Houses, Punagam Road, Punagam, Surat",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53379/akash-medical-general-stores
21,Pharmacy,Alsafa Medicals & Provision Stores,(0261) 2438282,"A-01, Lalgate, Jumma Masjid Ni Gali, LAL Gate, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53455/alsafa-medicals-provision-stores
22,Pharmacy,Amar Krupa Medical Store,9879940961,"Shop No-1 Rameshwar Shopping Centre, Kapodra Char Rasta, Kapodra, Surat",Surat,395006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53302/amar-krupa-medical-store
23,Pharmacy,Amar Medicines,(0261) 3354269,"G37, Corner Pnt, Op Seja; Apt, Citylight Rd, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53416/amar-medicines
24,Pharmacy,Ambica Medical Store,(0261) 2781337,"Shop No Gl 2 Center Point, B/S Vishal Nagar Opposite Gujarat Gas Circle, Adajan, SURAT",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53198/ambica-medical-store
25,Pharmacy,Ambika Medical & General Stores,9725877588,"13, Ramipark Society, Opposite Mahadev Temple, Didoli Road, Godadara, Surat",Surat,395010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53252/ambika-medical-general-stores
26,Pharmacy,Ambika Medical And General Store,9974724747,"A-28, Shakti Vijay Society, Aaspas Char Rasta, Dindoli Road, Surat",Surat,395010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53181/ambika-medical-and-general-store
27,Pharmacy,Amruta Medical Store,(0261) 2231142,"2003 Vaibhav Appartment, Near Amruta Hospital, Bhatar Road, Bhatar Road, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53450/amruta-medical-store
28,Pharmacy,Anand Medical,9898494148,"7/8, Surbhi Complex, Parvat Patia, Parvatgam Road, Parvat Patia, Surat",Surat,395010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53179/anand-medical
29,Pharmacy,Anand Medical Store,(0261) 2730123,"B-4,Shreeji Arcade, Anand Mahal Road, Adajan, SURAT",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53476/anand-medical-store
30,Pharmacy,Anand Medical Stores,(0261) 2478228,"G/4, Paradise Apartment, Athwalines, Athwa Gates, SURAT",Surat,395001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53170/anand-medical-stores
31,Pharmacy,Anand Medical Stores,(0261) 2478488,"G/4 Paradise Apt, Athwa Gates, Surat",Surat,395001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53283/anand-medical-stores
32,Pharmacy,Anant Medical Stores,(0261) 2626472,"2/2 Singapuri Wadi, Rustampura, 4 Rasta, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53330/anant-medical-stores
33,Pharmacy,Anil Medical Store,(0261) 2510283,"Shop No 3, Narayan Chembers, Vishram Society, Ved Road, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53399/anil-medical-store
34,Pharmacy,Anjali Medical & General Stores,(0261) 2906949,"Plot No. 62/63, Shop No. 1,167, Surat, Godadara Road, Godadara, Surat",Surat,395010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53278/anjali-medical-general-stores
35,Pharmacy,Anmol Medical And General Store,9909841201,"1,2,Reliance-1, Shri Ram Chowk, Kosad Raod Sarkari Avas, Sayan, Surat",Surat,394130,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53468/anmol-medical-and-general-store
36,Pharmacy,Anupam Medical Store,(0261) 2477767,"Vishvkarma Arcade, Opp N C Hospital, Manjura Gate, Surat",Surat,395002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53316/anupam-medical-store
37,Pharmacy,Apex Medico,(0261) 2768693,"Shop No. 1, Mangaldas Shopping Center, Palnpur Patiya, Rander Road, Rander Road, Surat",Surat,395005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53236/apex-medico
38,Pharmacy,Apna Chemist,9879111188,"C/O Bhartimaiya Medical Store, Lalwadi, Salabatpura, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53350/apna-chemist
39,Pharmacy,Apollo Pharmacy,(0261) 3215866,"6 Mann Complex, Opposite Shree Ram Petrol Pump, Anandmahal Road, Adajan Road, SURAT",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53137/apollo-pharmacy
40,Pharmacy,Apollo Pharmacy,(0261) 3272857,"Shop No U 1, Ground Floor, Zaveri Complex, Bhatar Road, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53138/apollo-pharmacy
41,Pharmacy,Apollo Pharmacy,(0261) 3273573,"Shop No G 85, 86, Gr Flr, Silicon Cplx, Navsari, Udhna Road, Udhna, Surat",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53139/apollo-pharmacy
42,Pharmacy,Arbuda Pharmacy,(0261) 2401179,"3/161, 1st Floor, Vanmali Bhavan, Parsi Sheri, Bhagal, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53215/arbuda-pharmacy
43,Pharmacy,Arihant Medical & Provisional Store...,(0261) 2591787,"4, Hira Panna Apartment, Kazi Maidan, Gopipura, Surat",Surat,395001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53287/arihant-medical-provisional-store
44,Pharmacy,Arihant Medical Store,(0261) 2234409,"8 Sheetal Shopping Square, 3rd Floor, Ghoddod Road, Bhatar Road, Surat",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53443/arihant-medical-store
45,Pharmacy,Asaktashram Medical Store,(0261) 2421567,"Asaktashram Hospital, Opp. Police Line, Rampura, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53144/asaktashram-medical-store
46,Pharmacy,Asha Medical,9033332934,"10, Ganesh Industrial Society, Near Navjivan Circle, Shantinath Mill Road, Udhna Magdala Road, Surat",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53385/asha-medical
47,Pharmacy,Asha Medical & General Store,9825203847,"Vishal Nagar, Part 1, Katargram, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53396/asha-medical-general-store
48,Pharmacy,Ashapura Medical,9998668483,"1, Ranchhod Nagar, Althan Pandesara Road, Pandesara, Surat",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53270/ashapura-medical
49,Pharmacy,Ashirwad Medical Store,9428869526,"Shop No-1, Parle Point, Mamta Hospital, Shastri Road, Bardoli, Surat",Surat,394601,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53230/ashirwad-medical-store
50,Pharmacy,Ashish Medical & General Store,9687298510,"11, Pramukh Chambers, Tad Wadi, Rander Road, Rander Road, Surat",Surat,395005,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53234/ashish-medical-general-store
51,Pharmacy,Ashok Medical & General Store,(0261) 2760365,"14,15,16 Drashti Complex, L.p.savani Circle, Honey Park Road, Surat",Surat,394515,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53168/ashok-medical-general-store
52,Pharmacy,Ashwini Medical & General Stores,,"7, Umiya Nagar- 1, Udhana, Navagam-Dindoli Road, Udhna, Surat",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53375/ashwini-medical-general-stores
53,Pharmacy,Avadh Medical & General Stores,(0261) 2541986,"1, Shyani Society, A.k. Road, Nr. Shah Clinic, Khodiyar Nagar Road, A K Road, Surat",Surat,395008,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53241/avadh-medical-general-stores
54,Pharmacy,Ayush Medicals Stores,9913782942,"18_19_20, Saitirth Residency, Opp, Nakshtra Platinum, Palanpur Patia, Surat",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53487/ayush-medicals-stores
55,Pharmacy,Baba Medical & Provision Store,9898257269,"G-2 Maharaja Arcade, Near Agreshan Bhavan Hall, City Light Road, Citylight Road, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53172/baba-medical-provision-store
56,Pharmacy,Balkrishna Medical Storess,(0261) 2779849,"13 Nilanjam Apartments, Opp Navyug College, Rander Road, Adajan Hazira Road, Surat",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53225/balkrishna-medical-storess
57,Pharmacy,Bapa Sitaram Medical,(0261) 2503540,"2,Patwa Building, Below Diamond Associate Hall, Opp Tapibaug, Varachha Road, Varachha Road, Surat",Surat,395006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53245/bapa-sitaram-medical
58,Pharmacy,Bhagwati Sales,(0261) 2255155,"G- 3 Anmol Complex, Opp. Radhey Nagar, Modi Bunglow, Dumas Road, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53221/bhagwati-sales
59,Pharmacy,Bharat Medical,9428143646,"Plot No 12, Muktinagar Society, Bamroli Road, Pandesara, Surat",Surat,394221,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53207/bharat-medical
60,Pharmacy,Bharat Medical & General Store,9909347719,"1,Parvat Plaza, Parvat Gam, Godadra Road, Parvat Patia, Surat",Surat,395010,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53204/bharat-medical-general-store
61,Pharmacy,Bharat Medical Stores,(0261) 2429035,"7/50 Sufi Baug, Near Station, Station Rd, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53331/bharat-medical-stores
62,Pharmacy,Bhatia Hansraj Jamnadas,(0261) 2414699,"9/1664 Nanavati Shpg Centre, Nr Janta Ice Cream Chauta Pool, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53332/bhatia-hansraj-jamnadas
63,Pharmacy,Bhavani Chemist,(0261) 2421302,"5/2004 A Gajanan Niwas, Hari Fara, Bhavanivad, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53216/bhavani-chemist
64,Pharmacy,Bhavani Medical Stores,(0261) 2418844,"9/1812, Kanpith Bazar, Main Road, LAL Gate, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53222/bhavani-medical-stores
65,Pharmacy,Bhavani Medicals,(0261) 2418844,"Nr. Paris Showroom, LAL Gate, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53145/bhavani-medicals
66,Pharmacy,Bhavani Medicals,(0261) 2532154,"A-01, Station Road, Station Road, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53364/bhavani-medicals
67,Pharmacy,Bhavani Medicals,(0261) 2532338,"Shop No 2, Bhavani Chambers, Near Peoples Bank, Katargam Main Road, Katargram, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53397/bhavani-medicals
68,Pharmacy,Bhavani Medicals,(0261) 2349494,"A-01, Salabatpura, Main Road, Salabatpura, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53464/bhavani-medicals
69,Pharmacy,Bholeshwer Medical Store,9824572303,"15, Momai Complex, Mota Varachha, Surat",Surat,394101,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53262/bholeshwer-medical-store
70,Pharmacy,Bina Medical Agencies,(0261) 2430760,"11/2478, Navroj Appartment, Near Palia Bungalow, Machhli Pith, Wadia Street, Shahpore, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53163/bina-medical-agencies
71,Pharmacy,Burhani Chemist,9825081526,"Under Burhani Hospital, Opposite Mahidharpura Police Station, Tayabi Street, Station Road, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53363/burhani-chemist
72,Pharmacy,Century Medical Stores,(0261) 2411515,"C/O 21st Century Hospital, Dawer Plaza, Next To Savera Hotel, Nr Rly Station, Sufi Baug, Station Road, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53362/century-medical-stores
73,Pharmacy,Charmi Medical Store,9376821003,"4 Vaishnodevi Apartment, Near District Co Op Bank, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53345/charmi-medical-store
74,Pharmacy,Charmi Medical Store,(0261) 2221003,"4 Vaishnodevi Apt, Near Surat District Co Operative Bank, Piplod, Piplod, SURAT",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53449/charmi-medical-store
75,Pharmacy,Charming Medical Store,(0261) 3221003,"4 Vaishnodevi Apartment, Near District Co Op Bank, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53347/charming-medical-store
76,Pharmacy,Children Medical Stores,9904248282,"Doctor House 1st Floor, Opp Hari Om Bunglow, Main Road, Katargram, Surat",Surat,395004,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53459/children-medical-stores
77,Pharmacy,City Medicals,(0261) 2463260,"1, Truveni Apartment, Nanpura, Surat",Surat,395001,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53462/city-medicals
78,Pharmacy,DAX Medical & General Stores,9978822825,"Shop No. 22, Krishna Town Ship, Opp. Hans Society, Mota Varachha Road, Mota Varachha, Surat",Surat,394101,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53266/dax-medical-general-stores
79,Pharmacy,DR Tattitali Totappa Amarappa,(0261) 2423979,"Q.no. 2, Athwa Health Centre, Opp Lourdes Convent School, Athwa Lines, Athwa, Surat",Surat,395007,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53439/dr-tattitali-totappa-amarappa
80,Pharmacy,Darshan Traders,,"B/1-5, Vishal Nagar Apartment, Adajan, B/S, New Bridge, Above Vijay Dairy, Adajan Dn, Surat",Surat,395009,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53471/darshan-traders
81,Pharmacy,Daruwala Bros,(0261) 2424114,"3/4225, Bhagal, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53164/daruwala-bros
82,Pharmacy,Desai Kushumben Kishorkumar,(0261) 2414637,"9/1182, Balaji Rd, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53333/desai-kushumben-kishorkumar
83,Pharmacy,Desai Medical Store,8866660530,"No: 2, Varachha Road, Pavan Apparments, Khodiyar Nagar Road, Surat, SURAT",Surat,395006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53311/desai-medical-store
84,Pharmacy,Desai Medical Store,(0261) 2675691,"Udhna Bestan, Main Rd, Udhna, Surat",Surat,394210,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53367/desai-medical-store
85,Pharmacy,Dhan Laxmi Enterprise,(0261) 6573509,"94 ,Kabir Wadi, Opp Himson Mill, Ashwani Kumar Road, Ashwini Kumar Road, Surat",Surat,395008,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53314/dhan-laxmi-enterprise
86,Pharmacy,Dhanlaxmi Chemist,(0261) 2534144,"7/8, Dhanlaxmi Compound, LAL Darwaja Road, Below Gabani Kidney Hospital, LAL Darwaja, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53188/dhanlaxmi-chemist
87,Pharmacy,Dharm Jivan Medical Store,9879019061,"Shop No. 4, Ramdev Pir Shopping Centre, Old Shakti Vijay, Varachha Road, Varachha Road, Surat",Surat,395006,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53300/dharm-jivan-medical-store
88,Pharmacy,Dharmik Medical Store,(0261) 2341362,"2/4350, Chhapgar Sheri Na Nake, Sagrampura, Sagrampura, Sagrampura, Surat",Surat,395002,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53318/dharmik-medical-store
89,Pharmacy,Dhruvi Medical & General Store,9428457185,"33, Shyamdham Society, Near Shyamdham Temple, Sarthana - Jakatnaka, Surat Ho, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53419/dhruvi-medical-general-store
90,Pharmacy,Dignity Agencies,(0261) 2425436,"4/3461/62 Zampa Bazar, Khadi Rd, Nurpura, Surat",Surat,395003,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53463/dignity-agencies
91,Pharmacy,Digvijay Chemist,(0261) 2439584,"108, Parisar Apartment, Near Hotel Yatri, Sumul Dairy Road, Sumul Dairy Road, Surat",Surat,395008,India,Monday-Sunday 8am - 9pm,Cash,INR (Indian Rupees),https://www.medicineindia.org/pharmacy-chemist-drugstore-details/53423/digvijay-chemist
