,Hospital,Phone Number,Location,Voting,Verified,Payment Mode,COUNTRY,STATE,CITY,Links
20,Baylor Scott & White Medical Center - Plano,(469) 814-2000,"4700 Alliance Blvd
Plano, TX 75093",79%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/medical-city-plano-hgst693bc8b6450651
21,Medical City Plano,(972) 596-6800,"3901 W 15th St
Plano, TX 75075",73%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/carrollton-regional-medical-center-hgst0e3bc8b6450730
22,Carrollton Regional Medical Center,(972) 492-1010,"4343 N Josey Ln
Carrollton, TX 75010",66%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/methodist-richardson-medical-center-hgst343bc8b6450537
23,Methodist Richardson Medical Center,(469) 204-1000,"2831 E President George Bush Hwy
Richardson, TX 75082",79%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/medical-city-arlington-hgstea3bc8b6450675
24,Medical City Arlington,(817) 465-3241,"3301 Matlock Rd
Arlington, TX 76015",70%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/the-heart-hospital-baylor-plano-hgst16b0b25d670025
25,The Heart Hospital Baylor Plano,(469) 814-3278,"1100 Allied Dr
Plano, TX 75093",89%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-plano-hgstb04bc8b6450771
26,Texas Health Presbyterian Hospital Plano,(972) 981-8000,"6200 W Parker Rd
Plano, TX 75093",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-arlington-memorial-hospital-hgstf12bc8b6450064
27,Texas Health Arlington Memorial Hospital,(817) 960-6100,"800 W Randol Mill Rd
Arlington, TX 76012",71%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/baylor-scott-and-white-medical-center-grapevine-hgst153bc8b6450563
28,Baylor Scott and White Medical Center Grapevine,(817) 481-1588,"1650 W College St
Grapevine, TX 76051",78%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/baylor-scott-white-orthopedic-and-spine-hospital-arlington-hgstb6938bbe670067
29,Baylor Scott & White Orthopedic and Spine Hospital - Arlington,(817) 583-7100,"707 Highlander Blvd
Arlington, TX 76015",87%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-rockwall-hgst0bbc857d670044
30,Texas Health Presbyterian Hospital Rockwall,(469) 698-1000,"3150 Horizon Rd
Rockwall, TX 75032",78%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/methodist-mansfield-medical-center-hgste3170517670023
31,Methodist Mansfield Medical Center,(682) 622-2059,"2700 E Broad St
Mansfield, TX 76063",85%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-heb-hgstc83bc8b6450639
32,Texas Health Heb,(817) 848-4000,"1600 Hospital Pkwy
Bedford, TX 76022",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-and-white-medical-center-lake-pointe-hgstce3bc8b6450742
33,Baylor Scott And White Medical Center Lake Pointe,(972) 412-2273,"6800 Scenic Dr
Rowlett, TX 75088",66%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/crescent-medical-center-lancaster-hgstb0a05586670090
34,Crescent Medical Center Lancaster,(972) 230-8888,"2600 W Pleasant Run Rd
Lancaster, TX 75146",51%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/select-specialty-hospital-dallas-hgstcceb612e670101
35,Select Specialty Hospital Dallas,(469) 334-0853,"2300 Marie Curie Dr
Garland, TX 75042",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-flower-mound-hgst2d321287670068
0,Medical City Lewisville,(972) 420-1000,"500 W Main St
Lewisville, TX 75057",77%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/medical-city-lewisville-hgst7a3bc8b6450669
1,Medical City Lewisville,(972) 420-1000,"500 W Main St
Lewisville, TX 75057",77%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/baylor-scott-and-white-medical-center-sunnyvale-hgsta8b3e0da670060
2,Baylor Scott And White Medical Center Sunnyvale,(972) 892-3000,"231 S Collins Rd
Sunnyvale, TX 75182",68%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/medical-city-mckinney-hgst803bc8b6450403
3,Medical City Mckinney,(972) 547-8000,"4500 Medical Center Dr
McKinney, TX 75069",74%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/medical-city-frisco-hgst5aaba5f5hg0623
4,Medical City Frisco,(214) 618-0500,"5500 Frisco Square Blvd
Frisco, TX 75034",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-center-for-diagnostics-surgery-plano-hgst22f1948f450891
5,Texas Health Center For Diagnostics & Surgery Plano,(972) 403-2700,"6020 W Parker Rd
Plano, TX 75093",85%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-medical-center-centennial-hgst74e45a32450885
6,Baylor Scott & White Medical Center - Centennial,(972) 963-3333,"12505 Lebanon Rd
Frisco, TX 75035",69%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-medical-center-mckinney-hgst7e548527670082
7,Baylor Scott & White Medical Center - McKinney,(469) 764-2200,"5252 W University Dr
McKinney, TX 75071",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/methodist-hospital-for-surgery-hgst66698e6b670073
8,Methodist Hospital For Surgery,(469) 248-3900,"17101 Dallas Pkwy
Addison, TX 75001",84%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/baylor-scott-white-all-saints-medical-center-fort-worth-hgst952bc8b6450137
9,Baylor Scott & White All Saints Medical Center - Fort Worth,(817) 926-2544,"1400 8th Ave
Fort Worth, TX 76104",73%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/texas-general-hospital-hgst39430458670083
10,Texas General Hospital,(469) 635-2073,"2709 Hospital Blvd
Grand Prairie, TX 75051",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-medical-center-frisco-hgst0060ba1b450853
11,Baylor Scott & White Medical Center - Frisco,(214) 407-5000,"5601 Warren Pkwy
Frisco, TX 75034",83%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-specialty-hospital-hgst752bc8b6450135
12,Texas Health Specialty Hospital,(817) 250-5500,"1301 Pennsylvania Ave
Fort Worth, TX 76104",73%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/medical-city-fort-worth-hgstba3bc8b6450672
13,Medical City Fort Worth,(817) 336-2100,"900 8th Ave
Fort Worth, TX 76104",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/medical-city-denton-hgst883bc8b6450634
14,Medical City Denton,(940) 384-3535,"3535 S Interstate 35 E
Denton, TX 76210",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-dallas/first-texas-hospital-carrollton-hgst442eea49670110
15,First Texas Hospital Carrollton,(972) 810-0700,"1401 E Trinity Mills Rd
Carrollton, TX 75006",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/legent-hospital-for-special-surgery-hgste1b796eahg0667
16,Legent Hospital for Special Surgery,(972) 265-1050,"4100 Mapleshade Ln
Plano, TX 75075",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/medical-city-alliance-hgstbbc2be00670103
17,Medical City Alliance,(817) 639-1100,"3101 N Tarrant Pkwy
Fort Worth, TX 76177",80%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-central/texas-health-huguley-hospital-fort-worth-south-hgst0b3bc8b6450677
18,Texas Health Huguley Hospital Fort Worth South,(817) 293-9110,"11801 South Fwy
Burleson, TX 76028",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-central/baylor-scott-and-white-medical-center-waxahachie-hgst7f2bc8b6450372
19,Baylor Scott and White Medical Center- Waxahachie,(469) 843-4000,"2400 N Interstate Highway 35 E
Waxahachie, TX 75165",81%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-allen-hgstf4f11784450840
20,Texas Health Presbyterian Hospital Allen,(972) 747-1000,"1105 Central Expy N
Allen, TX 75013",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/jps-family-health-center-hgst902bc8b6450039
21,JPS Family Health Center,(817) 921-3431,"1500 S Main St
Fort Worth, TX 76104",69%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/plano-surgical-hospital-hgst173a7acchg0668
22,Plano Surgical Hospital,(972) 820-2600,"2301 Marsh Ln
Plano, TX 75093",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/physicians-metroplex-hospital-hgst8afcd81a450858
23,Physician's Metroplex Hospital,(817) 395-5100,"4400 New York Ave
Arlington, TX 76018",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/medical-city-north-hills-hgst232bc8b6450087
24,Medical City North Hills,(817) 255-1000,"4401 Booth Calloway Rd
North Richland Hills, TX 76180",71%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/baylor-scott-white-surgical-hospital-fort-worth-hgst6bbd8b23450880
25,Baylor Scott & White Surgical Hospital Fort Worth,(682) 703-5600,"1800 Park Place Ave
Fort Worth, TX 76110",88%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-denton-hgstde3bc8b6450743
26,Texas Health Presbyterian Hospital Denton,(940) 898-7000,"3000 N INTERSTATE 35
Denton, TX 76201",77%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-heart-and-vascular-hospital-arlington-hgst658b77ea670071
27,Texas Health Heart and Vascular Hospital Arlington,(817) 960-3500,"811 Wright St
Arlington, TX 76012",83%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-harris-methodist-hospital-southwest-fort-worth-hgst214bc8b6450779
28,Texas Health Harris Methodist Hospital Southwest Fort Worth,(817) 433-5000,"6100 Harris Pkwy
Fort Worth, TX 76132",78%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/usmd-hospital-at-arlington-hgst54e66d24450872
29,USMD Hospital at Arlington,(817) 472-3400,"801 W Interstate 20
Arlington, TX 76017",76%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/the-heart-hospital-baylor-denton-hgst91262319450893
30,The Heart Hospital Baylor Denton,(940) 220-0600,"2801 S Mayhill Rd
Denton, TX 76208",90%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/presbyterian-medical-center-of-wylie-hgstf34bc8b6450826
31,Presbyterian Medical Center Of Wylie,(972) 429-2929,"801 S Hwy 78
Wylie, TX 75098",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-harris-methodist-hospital-southlake-hgstf85c5d48450888
32,Texas Health Harris Methodist Hospital Southlake,(817) 748-8700,"1545 E Southlake Blvd
Southlake, TX 76092",85%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/texas-health-presbyterian-hospital-kaufman-hgst1c2bc8b6450292
33,Texas Health Presbyterian Hospital Kaufman,(972) 932-7200,"850 Ed Hall Dr
Kaufman, TX 75142",70%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-harris-methodist-hospital-alliance-hgst363f19f6670085
34,Texas Health Harris Methodist Hospital Alliance,(682) 212-2000,"10864 Texas Health Trl
Fort Worth, TX 76244",77%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-emergency-hospital-rockwall-hgst5f96a46b670097
35,Baylor Scott & White Emergency Hospital - Rockwall,(214) 294-6200,"1975 Alpha Dr
Rockwall, TX 75087",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/saint-camillus-medical-center-hgstc69ffdbe670121
0,Methodist Southlake Hospital,(817) 865-4400,"421 E State Highway 114
Southlake, TX 76092",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/methodist-southlake-hospital-hgst24d5c43bhg0670
1,Methodist Southlake Hospital,(817) 865-4400,"421 E State Highway 114
Southlake, TX 76092",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-medical-center-at-trophy-club-hgst0a6de6b1450883
2,Baylor Medical Center At Trophy Club,(817) 837-4600,"2850 E Highway 114
Trophy Club, TX 76262",81%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-central/texas-health-harris-methodist-hospital-cleburne-hgst262bc8b6450148
3,Texas Health Harris Methodist Hospital Cleburne,(817) 641-2551,"201 Walls Dr
Cleburne, TX 76033",68%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/methodist-mckinney-hospital-hgstfe0dcfa4670069
4,Methodist McKinney Hospital,(972) 569-2700,"8000 Eldorado Pkwy
McKinney, TX 75070",82%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/wise-health-surgical-hospital-at-parkway-hgst7e025ff3670116
5,Wise Health Surgical Hospital at Parkway,(817) 502-7300,"3200 N Tarrant Pkwy
Fort Worth, TX 76177",88%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/baylor-scott-white-emergency-hospital-aubrey-hgst7468672b670062
6,Baylor Scott & White Emergency Hospital - Aubrey,(972) 347-2525,"26791 US Highway 380 E
Aubrey, TX 76227",75%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/cook-childrens-medical-center-hgch337bc8b6453300
7,Cook Children's Medical Center,(682) 885-4000,"801 7th Ave
Fort Worth, TX 76104",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/mayhill-hospital-hgst9d462877670010
8,Mayhill Hospital,(940) 239-3000,"2809 S Mayhill Rd
Denton, TX 76208",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-central/baylor-scott-white-emergency-hospital-burleson-hgstc82ea6bc670107
9,Baylor Scott & White Emergency Hospital – Burleson,(214) 294-6250,"12500 South Fwy
Burleson, TX 76028",85%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-central/ennis-regional-medical-center-hgst0b5b4cfb450833
10,Ennis Regional Medical Center,(972) 875-0900,"2201 W Lampasas St
Ennis, TX 75119",70%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-hospital-clearfork-hgst7b64d892hg0671
11,Texas Health Hospital Clearfork,(817) 433-7000,"5400 Clearfork Main St
Fort Worth, TX 76109",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/usmd-hospital-at-fort-worth-hgst4485d5ba670046
12,Usmd Hospital At Fort Worth,(817) 433-9100,"5900 Altamesa Blvd
Fort Worth, TX 76132",NaN,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-fort-worth/texas-health-harris-methodist-hospital-azle-hgstf03bc8b6450419
13,Texas Health Harris Methodist Hospital Azle,(817) 444-8600,"108 Denver Trl
Azle, TX 76020",62%,YES,CASH,USA,Texas,Dallas,https://www.healthgrades.com/hospital-directory/texas-tx-northern/hunt-regional-medical-center-hgstbe2bc8b6450352
