,Hospital,Phone Number,Location,Verified,Payment Mode,COUNTRY,STATE,CITY
10,Zuckerberg San Francisco General Hospital and Trauma Center,(415) 206-8000,"1001 Potrero Ave
San Francisco, CA 94110",YES,CASH,USA,California,San Jose
11,Alameda Hospital,(510) 522-3700,"2070 Clinton Ave
Alameda, CA 94501",YES,CASH,USA,California,San Jose
12,Saint Louise Regional Hospital,(408) 848-2000,"9400 N Name Uno
Gilroy, CA 95020",YES,CASH,USA,California,San Jose
13,Chinese Hospital,(415) 982-2400,"845 Jackson St
San Francisco, CA 94133",YES,CASH,USA,California,San Jose
14,Watsonville Community Hospital,(831) 724-4741,"75 Neilson St
Watsonville, CA 95076",YES,CASH,USA,California,San Jose
15,San Leandro Hospital,(510) 357-6500,"13855 E 14th St
San Leandro, CA 94578",YES,CASH,USA,California,San Jose
16,San Ramon Regional Medical Center,(925) 275-9200,"6001 Norris Canyon Rd
San Ramon, CA 94583",YES,CASH,USA,California,San Jose
17,Contra Costa Regional Medical Center,(925) 370-5000,"2500 Alhambra Ave
Martinez, CA 94553",YES,CASH,USA,California,San Jose
18,Salinas Valley Memorial Hospital,(831) 757-4333,"450 E Romie Ln
Salinas, CA 93901",YES,CASH,USA,California,San Jose
19,Seton Medical Center,(650) 992-4000,"1900 Sullivan Ave
Daly City, CA 94015",YES,CASH,USA,California,San Jose
20,Ucsf Benioff Children's Hospital Oakland,(510) 428-3000,"747 52nd St
Oakland, CA 94609",YES,CASH,USA,California,San Jose
21,St Marys Medical Center,(628) 246-0569,"450 Stanyan St
San Francisco, CA 94117",YES,CASH,USA,California,San Jose
22,Hazel Hawkins Memorial Hospital,(831) 637-5711,"911 Sunset Dr
Hollister, CA 95023",YES,CASH,USA,California,San Jose
23,Natividad Medical Center,(831) 755-4111,"1441 Constitution Blvd
Salinas, CA 93906",YES,CASH,USA,California,San Jose
