,Hospital,Phone Number,Location,Voting,Verified,Payment Mode,COUNTRY,STATE,CITY,Links
25,"John Muir Health, Walnut Creek Medical Center",(925) 939-3000,"1601 Ygnacio Valley Rd
Walnut Creek, CA 94598",83%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/ucsf-medical-center-at-parnassus-hgst32618d46050454
26,UCSF Medical Center at Parnassus,(415) 476-1000,"400 Parnassus Ave
San Francisco, CA 94143",86%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/california-pacific-medical-center-van-ness-campus-hgstbc418d46050047
27,California Pacific Medical Center - Van Ness Campus,(415) 600-6000,"1101 Van Ness Ave
San Francisco, CA 94109",76%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/st-marys-medical-center-hgst62618d46050457
28,St. Mary's Medical Center,(415) 668-1000,"450 Stanyan St
San Francisco, CA 94117",65%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/kaiser-permanente-san-francisco-medical-center-hgst4e418d46050076
29,Kaiser Permanente San Francisco Medical Center,(415) 833-2000,"2425 Geary Blvd
San Francisco, CA 94115",72%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/ucsf-medical-center-at-mount-zion-hgst0c418d46050033
30,UCSF Medical Center at Mount Zion,(415) 567-6600,"1600 Divisadero St
San Francisco, CA 94115",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-northern/sutter-tracy-community-hospital-hgst6b518d46050313
31,Sutter Tracy Community Hospital,(209) 835-1500,"1420 N Tracy Blvd
Tracy, CA 95376",69%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/california-pacific-medical-center-california-campus-hgste5518d46050208
32,California Pacific Medical Center - California Campus,(415) 600-6000,"3700 California St
San Francisco, CA 94118",NaN,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/kaiser-permanente-antioch-medical-center-hgstbf63f8d1050760
33,Kaiser Permanente Antioch Medical Center,(925) 813-6500,"4501 Sand Creek Rd
Antioch, CA 94531",79%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/kaiser-permanente-oakland-medical-center-hgst3e418d46050075
34,Kaiser Permanente Oakland Medical Center,(510) 752-1000,"3600 Broadway
Oakland, CA 94611",74%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-san-francisco/saint-francis-memorial-hospital-hgstf2518d46050152
35,Saint Francis Memorial Hospital,(415) 582-4265,"900 Hyde St
San Francisco, CA 94109",67%,YES,CASH,USA,California,San Diego,https://www.healthgrades.com/hospital-directory/california-ca-oakland-berkeley/highland-hospital-hgstcb518d46050320
