,Hospitals,Hotels
213,"Care Hospitals, Vishakhapatnam",
214,"Care Hospitals, Vishakhapatnam",
215,"Care Hospitals, Vishakhapatnam",
216,"Care Hospitals, Vishakhapatnam",
217,"Care Hospitals, Vishakhapatnam",
218,"Care Hospitals, Vishakhapatnam",
219,"Care Hospitals, Vishakhapatnam",
220,"Care Hospitals, Vishakhapatnam",
221,"Care Hospitals, Vishakhapatnam",
222,"Care Hospitals, Vishakhapatnam",
223,"Care Hospitals, Vishakhapatnam",
224,"Care Hospitals, Vishakhapatnam",
225,"Care Hospitals, Vishakhapatnam",
226,"Care Hospitals, Vishakhapatnam",
227,"Care Hospitals, Vishakhapatnam",
228,"Care Hospitals, Vishakhapatnam",
229,"Care Hospitals, Vishakhapatnam",
230,"Care Hospitals, Vishakhapatnam",
231,"Care Hospitals, Vishakhapatnam",
232,"Care Hospitals, Vishakhapatnam",
233,"Care Hospitals, Vishakhapatnam",
234,"Care Hospitals, Vishakhapatnam",
235,"Care Hospitals, Vishakhapatnam",
236,"Care Hospitals, Vishakhapatnam",
237,"Care Hospitals, Vishakhapatnam",
238,"Care Hospitals, Vishakhapatnam",
239,"Care Hospitals, Vishakhapatnam",
240,"Care Hospitals, Vishakhapatnam",
241,"Care Hospitals, Vishakhapatnam",
242,"Care Hospitals, Vishakhapatnam",
243,"Care Hospitals, Vishakhapatnam",
244,"Care Hospitals, Vishakhapatnam",
245,"Care Hospitals, Vishakhapatnam",
246,"Care Hospitals, Vishakhapatnam",
247,"Care Hospitals, Vishakhapatnam",
248,"Care Hospitals, Vishakhapatnam",
249,"Care Hospitals, Vishakhapatnam",
250,"Care Hospitals, Vishakhapatnam",
251,"Care Hospitals, Vishakhapatnam",
252,"Care Hospitals, Vishakhapatnam",
253,"Care Hospitals, Vishakhapatnam",
254,"Care Hospitals, Vishakhapatnam",
255,"Care Hospitals, Vishakhapatnam",
256,"Care Hospitals, Vishakhapatnam",
257,"Care Hospitals, Vishakhapatnam",
258,"Care Hospitals, Vishakhapatnam",
259,"Care Hospitals, Vishakhapatnam",
260,"Care Hospitals, Vishakhapatnam",
261,"Care Hospitals, Vishakhapatnam",
262,"Care Hospitals, Vishakhapatnam",
263,"Care Hospitals, Vishakhapatnam",
264,"Care Hospitals, Vishakhapatnam",
265,"Care Hospitals, Vishakhapatnam",
266,"Care Hospitals, Vishakhapatnam",
267,"Care Hospitals, Vishakhapatnam",
268,"Care Hospitals, Vishakhapatnam",
269,"Care Hospitals, Vishakhapatnam",
270,"Care Hospitals, Vishakhapatnam",
271,"Care Hospitals, Vishakhapatnam",
272,"Care Hospitals, Vishakhapatnam",
273,"Care Hospitals, Vishakhapatnam",
274,"Care Hospitals, Vishakhapatnam",
275,"Care Hospitals, Vishakhapatnam",
276,"Care Hospitals, Vishakhapatnam",
277,"Care Hospitals, Vishakhapatnam",
278,"Care Hospitals, Vishakhapatnam",
279,"Care Hospitals, Vishakhapatnam","HOTEL'S NAME:
Fortune Inn Sree Kanya, Visakhapatnam
STAR RTAING:
4
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
2.0
ROOM COUNT:
93
PRICE RANGE (INR):
4000
PRICE RANGE (USD):
53
HOTELS LINK:
http://fortunehotels.in/hotel/visakhapatnam-fortune_inn_sree_kanya.aspx"
280,"Care Hospitals, Vishakhapatnam","HOTEL'S NAME:
Hotel Supreme
STAR RTAING:
3
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
2.0
ROOM COUNT:
67
PRICE RANGE (INR):
3000
PRICE RANGE (USD):
40
HOTELS LINK:
http://hotelsupremevizag.com/"
281,"Care Hospitals, Vishakhapatnam","SIGHT'S NAME:
Simhachalam Temple
SIGHTS' ADDRESS:
Simhachalam
SIGHT DISTANCE FROM HOSPITAL (IN KM):
17.0
CONNECTIVITY:
Bus/ Cab
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
282,"Care Hospitals, Vishakhapatnam","MARKET NAME:
Jagadamba Centre
MARKET IS KNOWN FOR:
Malls, Emporiums And Other Retail Shops- Hand Woven Fabrics, Wooden Carvings, Metal Sculptures, Sandalwood Products, Antiques, Leather Products, Carpets, Wall Hangings And Other Popular Craftwork
RESTURANTS IN MARKET PLACE:
Indian, European, Chinese, Continental, Beverages, Fast Food, Cafe
RELIGIOUS PLACES IN MARKET:
Simhachalam Temple"
283,"Max Super Speciality Hospitals, Patparganj","APPOINTMENT LINK
https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-patparganj"
284,"Max Super Speciality Hospitals, Patparganj","INTERNATIONAL CUISINES
* French"
285,"Max Super Speciality Hospitals, Patparganj","INTERNATIONAL RECOGNITIONS
- Not Available -"
286,"Max Super Speciality Hospitals, Patparganj",
287,"Max Super Speciality Hospitals, Patparganj",
288,"Max Super Speciality Hospitals, Patparganj",
289,"Max Super Speciality Hospitals, Patparganj",
290,"Max Super Speciality Hospitals, Patparganj",
291,"Max Super Speciality Hospitals, Patparganj",
292,"Max Super Speciality Hospitals, Patparganj",
293,"Max Super Speciality Hospitals, Patparganj",
294,"Max Super Speciality Hospitals, Patparganj",
295,"Max Super Speciality Hospitals, Patparganj",
296,"Max Super Speciality Hospitals, Patparganj",
297,"Max Super Speciality Hospitals, Patparganj",
298,"Max Super Speciality Hospitals, Patparganj",
299,"Max Super Speciality Hospitals, Patparganj",
300,"Max Super Speciality Hospitals, Patparganj",
301,"Max Super Speciality Hospitals, Patparganj",
302,"Max Super Speciality Hospitals, Patparganj",
303,"Max Super Speciality Hospitals, Patparganj",
304,"Max Super Speciality Hospitals, Patparganj",
305,"Max Super Speciality Hospitals, Patparganj",
306,"Max Super Speciality Hospitals, Patparganj",
307,"Max Super Speciality Hospitals, Patparganj",
308,"Max Super Speciality Hospitals, Patparganj",
309,"Max Super Speciality Hospitals, Patparganj",
310,"Max Super Speciality Hospitals, Patparganj",
311,"Max Super Speciality Hospitals, Patparganj",
312,"Max Super Speciality Hospitals, Patparganj",
313,"Max Super Speciality Hospitals, Patparganj",
314,"Max Super Speciality Hospitals, Patparganj",
315,"Max Super Speciality Hospitals, Patparganj",
316,"Max Super Speciality Hospitals, Patparganj",
317,"Max Super Speciality Hospitals, Patparganj",
318,"Max Super Speciality Hospitals, Patparganj",
319,"Max Super Speciality Hospitals, Patparganj",
320,"Max Super Speciality Hospitals, Patparganj",
321,"Max Super Speciality Hospitals, Patparganj",
322,"Max Super Speciality Hospitals, Patparganj",
323,"Max Super Speciality Hospitals, Patparganj",
324,"Max Super Speciality Hospitals, Patparganj",
325,"Max Super Speciality Hospitals, Patparganj",
326,"Max Super Speciality Hospitals, Patparganj",
327,"Max Super Speciality Hospitals, Patparganj",
328,"Max Super Speciality Hospitals, Patparganj",
329,"Max Super Speciality Hospitals, Patparganj",
330,"Max Super Speciality Hospitals, Patparganj",
331,"Max Super Speciality Hospitals, Patparganj",
332,"Max Super Speciality Hospitals, Patparganj",
333,"Max Super Speciality Hospitals, Patparganj",
334,"Max Super Speciality Hospitals, Patparganj",
335,"Max Super Speciality Hospitals, Patparganj",
336,"Max Super Speciality Hospitals, Patparganj",
337,"Max Super Speciality Hospitals, Patparganj",
338,"Max Super Speciality Hospitals, Patparganj",
339,"Max Super Speciality Hospitals, Patparganj",
340,"Max Super Speciality Hospitals, Patparganj",
341,"Max Super Speciality Hospitals, Patparganj",
342,"Max Super Speciality Hospitals, Patparganj",
343,"Max Super Speciality Hospitals, Patparganj",
344,"Max Super Speciality Hospitals, Patparganj",
345,"Max Super Speciality Hospitals, Patparganj",
346,"Max Super Speciality Hospitals, Patparganj",
347,"Max Super Speciality Hospitals, Patparganj",
348,"Max Super Speciality Hospitals, Patparganj",
349,"Max Super Speciality Hospitals, Patparganj",
350,"Max Super Speciality Hospitals, Patparganj",
351,"Max Super Speciality Hospitals, Patparganj",
352,"Max Super Speciality Hospitals, Patparganj",
353,"Max Super Speciality Hospitals, Patparganj",
354,"Max Super Speciality Hospitals, Patparganj",
355,"Max Super Speciality Hospitals, Patparganj",
356,"Max Super Speciality Hospitals, Patparganj",
357,"Max Super Speciality Hospitals, Patparganj",
358,"Max Super Speciality Hospitals, Patparganj",
359,"Max Super Speciality Hospitals, Patparganj",
360,"Max Super Speciality Hospitals, Patparganj",
361,"Max Super Speciality Hospitals, Patparganj",
362,"Max Super Speciality Hospitals, Patparganj",
363,"Max Super Speciality Hospitals, Patparganj",
364,"Max Super Speciality Hospitals, Patparganj",
365,"Max Super Speciality Hospitals, Patparganj",
366,"Max Super Speciality Hospitals, Patparganj",
367,"Max Super Speciality Hospitals, Patparganj",
368,"Max Super Speciality Hospitals, Patparganj",
369,"Max Super Speciality Hospitals, Patparganj",
370,"Max Super Speciality Hospitals, Patparganj",
371,"Max Super Speciality Hospitals, Patparganj",
372,"Max Super Speciality Hospitals, Patparganj",
373,"Max Super Speciality Hospitals, Patparganj",
374,"Max Super Speciality Hospitals, Patparganj","HOTEL'S NAME:
LE MERIDIEN NEW DELHI
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
12.0
ROOM COUNT:
360
PRICE RANGE (INR):
8000
PRICE RANGE (USD):
106
HOTELS LINK:
http://lemeridien.com"
375,"Max Super Speciality Hospitals, Patparganj","HOTEL'S NAME:
THE ROYAL PLAZA
STAR RTAING:
4
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
10.0
ROOM COUNT:
420
PRICE RANGE (INR):
6000
PRICE RANGE (USD):
80
HOTELS LINK:
http://hoteltheroyalplaza.com"
376,"Max Super Speciality Hospitals, Patparganj","SIGHT'S NAME:
Akshardam Temple
SIGHTS' ADDRESS:
Noida Mor, Pandav Nagar, New Delhi, Delhi 110092
SIGHT DISTANCE FROM HOSPITAL (IN KM):
4.0
CONNECTIVITY:
Metro, Tourist Buses, Local Bus, City Bus, Taxi, Auto, E – Rikshaw
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
377,"Max Super Speciality Hospitals, Patparganj","MARKET NAME:
Khan Market
MARKET IS KNOWN FOR:
Hardware, Electronics, Fabric, Footwear, Ethnic Items, Designer Outfits
RESTURANTS IN MARKET PLACE:
Indian, Mughlai, Italian, Café, Chinese, Thai, Continental, French, Continental
RELIGIOUS PLACES IN MARKET:
Temple – Gopal Mandir, Jewish - Judah Hyam Synagogue Church – St Latter Day Church"
378,"Max Super Speciality Hospitals, Delhi","APPOINTMENT LINK
http://www.maxhealthcare.in"
379,"Max Super Speciality Hospitals, Delhi","INTERNATIONAL CUISINES
* Indian
* Continental"
380,"Max Super Speciality Hospitals, Delhi","INTERNATIONAL RECOGNITIONS
The First Founder International Center Of Excellence For Bariatric Surgery (ICE) In India By Surgical Review Corporation (SRC), USA"
381,"Max Super Speciality Hospitals, Delhi","ISO DETAILS
- Not Available -"
382,"Max Super Speciality Hospitals, Delhi","LANGUAGES
* Arabic
* French
* Russian
* Japanese"
383,"Max Super Speciality Hospitals, Delhi",
384,"Max Super Speciality Hospitals, Delhi",
385,"Max Super Speciality Hospitals, Delhi",
386,"Max Super Speciality Hospitals, Delhi",
387,"Max Super Speciality Hospitals, Delhi",
388,"Max Super Speciality Hospitals, Delhi",
389,"Max Super Speciality Hospitals, Delhi",
390,"Max Super Speciality Hospitals, Delhi",
391,"Max Super Speciality Hospitals, Delhi",
392,"Max Super Speciality Hospitals, Delhi",
393,"Max Super Speciality Hospitals, Delhi",
394,"Max Super Speciality Hospitals, Delhi",
395,"Max Super Speciality Hospitals, Delhi",
396,"Max Super Speciality Hospitals, Delhi",
397,"Max Super Speciality Hospitals, Delhi",
398,"Max Super Speciality Hospitals, Delhi",
399,"Max Super Speciality Hospitals, Delhi",
400,"Max Super Speciality Hospitals, Delhi",
401,"Max Super Speciality Hospitals, Delhi",
402,"Max Super Speciality Hospitals, Delhi",
403,"Max Super Speciality Hospitals, Delhi",
404,"Max Super Speciality Hospitals, Delhi",
405,"Max Super Speciality Hospitals, Delhi",
406,"Max Super Speciality Hospitals, Delhi",
407,"Max Super Speciality Hospitals, Delhi",
408,"Max Super Speciality Hospitals, Delhi",
409,"Max Super Speciality Hospitals, Delhi",
410,"Max Super Speciality Hospitals, Delhi",
411,"Max Super Speciality Hospitals, Delhi",
412,"Max Super Speciality Hospitals, Delhi",
413,"Max Super Speciality Hospitals, Delhi",
414,"Max Super Speciality Hospitals, Delhi",
415,"Max Super Speciality Hospitals, Delhi",
416,"Max Super Speciality Hospitals, Delhi",
417,"Max Super Speciality Hospitals, Delhi",
418,"Max Super Speciality Hospitals, Delhi",
419,"Max Super Speciality Hospitals, Delhi",
420,"Max Super Speciality Hospitals, Delhi",
421,"Max Super Speciality Hospitals, Delhi",
422,"Max Super Speciality Hospitals, Delhi",
423,"Max Super Speciality Hospitals, Delhi",
424,"Max Super Speciality Hospitals, Delhi",
425,"Max Super Speciality Hospitals, Delhi",
426,"Max Super Speciality Hospitals, Delhi",
427,"Max Super Speciality Hospitals, Delhi",
428,"Max Super Speciality Hospitals, Delhi",
429,"Max Super Speciality Hospitals, Delhi",
430,"Max Super Speciality Hospitals, Delhi",
431,"Max Super Speciality Hospitals, Delhi",
432,"Max Super Speciality Hospitals, Delhi",
433,"Max Super Speciality Hospitals, Delhi",
434,"Max Super Speciality Hospitals, Delhi",
435,"Max Super Speciality Hospitals, Delhi",
436,"Max Super Speciality Hospitals, Delhi",
437,"Max Super Speciality Hospitals, Delhi",
438,"Max Super Speciality Hospitals, Delhi",
439,"Max Super Speciality Hospitals, Delhi",
440,"Max Super Speciality Hospitals, Delhi",
441,"Max Super Speciality Hospitals, Delhi",
442,"Max Super Speciality Hospitals, Delhi",
443,"Max Super Speciality Hospitals, Delhi",
444,"Max Super Speciality Hospitals, Delhi",
445,"Max Super Speciality Hospitals, Delhi",
446,"Max Super Speciality Hospitals, Delhi",
447,"Max Super Speciality Hospitals, Delhi",
448,"Max Super Speciality Hospitals, Delhi",
449,"Max Super Speciality Hospitals, Delhi",
450,"Max Super Speciality Hospitals, Delhi",
451,"Max Super Speciality Hospitals, Delhi",
452,"Max Super Speciality Hospitals, Delhi",
453,"Max Super Speciality Hospitals, Delhi",
454,"Max Super Speciality Hospitals, Delhi",
455,"Max Super Speciality Hospitals, Delhi",
456,"Max Super Speciality Hospitals, Delhi",
457,"Max Super Speciality Hospitals, Delhi",
458,"Max Super Speciality Hospitals, Delhi",
459,"Max Super Speciality Hospitals, Delhi",
460,"Max Super Speciality Hospitals, Delhi",
461,"Max Super Speciality Hospitals, Delhi",
462,"Max Super Speciality Hospitals, Delhi",
463,"Max Super Speciality Hospitals, Delhi",
464,"Max Super Speciality Hospitals, Delhi",
465,"Max Super Speciality Hospitals, Delhi",
466,"Max Super Speciality Hospitals, Delhi",
467,"Max Super Speciality Hospitals, Delhi",
468,"Max Super Speciality Hospitals, Delhi",
469,"Max Super Speciality Hospitals, Delhi",
470,"Max Super Speciality Hospitals, Delhi","HOTEL'S NAME:
The Suryaa, New Delhi
STAR RTAING:
5
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
9.0
ROOM COUNT:
244
PRICE RANGE (INR):
5000
PRICE RANGE (USD):
66
HOTELS LINK:
http://thesuryaa.com/accommodation.html"
471,"Max Super Speciality Hospitals, Delhi","HOTEL'S NAME:
Emblem - A Boutique Hotel-New Delhi
STAR RTAING:
4
HOTEL'S DISTANCE FROM HOSPITAL (IN KM):
9.0
ROOM COUNT:
20
PRICE RANGE (INR):
2500
PRICE RANGE (USD):
33
HOTELS LINK:
http://emblemhotels.in/about-hotel.html"
472,"Max Super Speciality Hospitals, Delhi","SIGHT'S NAME:
India Gate
SIGHTS' ADDRESS:
Rajpat
SIGHT DISTANCE FROM HOSPITAL (IN KM):
12.6
CONNECTIVITY:
Metro/ Local Bus/ Auto/ Taxi
HOTELS LINK:
- Not Available -
TRAVEL AGENCY DETAILS
AGENCY NAME:
Ola Cabs
AGENCY WEBSITE:
olacabs.com
AGENCY CONTACT:
080-67350900"
473,"Max Super Speciality Hospitals, Delhi","MARKET NAME:
Connaught Place (Includes Palika Bazar, Janpath Market, Metropolitan, Tibetian Market, Wholesale Flower Market)
MARKET IS KNOWN FOR:
Apparels, Gold And Synthetic Jewellery Handcraft, Kashmiri Shawls And Carpeting, Artwork And Gemstones, Footwearand Electronic Items
RESTURANTS IN MARKET PLACE:
Multicuisine, South Indian, Chinese, Italian, Coffee Shops, Snacks, Chinese Restaurants
RELIGIOUS PLACES IN MARKET:
Lakshmi Narayan Mandir"
474,"Zydus Hospital, Anand","APPOINTMENT LINK
http://www.zydushospitals.com"
475,"Zydus Hospital, Anand","INTERNATIONAL CUISINES
* Indian"
476,"Zydus Hospital, Anand","INTERNATIONAL RECOGNITIONS
- Not Available -"
477,"Zydus Hospital, Anand","ISO DETAILS
- Not Available -"
478,"Zydus Hospital, Anand","LANGUAGES
* English"
479,"Zydus Hospital, Anand","CERTIFICATES
* NABH"
480,"Zydus Hospital, Anand",
481,"Zydus Hospital, Anand",
482,"Zydus Hospital, Anand",
483,"Zydus Hospital, Anand",
484,"Zydus Hospital, Anand",
485,"Zydus Hospital, Anand",
486,"Zydus Hospital, Anand",
487,"Zydus Hospital, Anand",
488,"Zydus Hospital, Anand",
489,"Zydus Hospital, Anand",
490,"Zydus Hospital, Anand",
491,"Zydus Hospital, Anand",
492,"Zydus Hospital, Anand",
493,"Zydus Hospital, Anand",
494,"Zydus Hospital, Anand",
495,"Zydus Hospital, Anand",
496,"Zydus Hospital, Anand",
497,"Zydus Hospital, Anand",
498,"Zydus Hospital, Anand",
499,"Zydus Hospital, Anand",
500,"Zydus Hospital, Anand",
501,"Zydus Hospital, Anand",
502,"Zydus Hospital, Anand",
503,"Zydus Hospital, Anand",
504,"Zydus Hospital, Anand",
505,"Zydus Hospital, Anand",
506,"Zydus Hospital, Anand",
507,"Zydus Hospital, Anand",
508,"Zydus Hospital, Anand",
509,"Zydus Hospital, Anand",
